"Gateway not found or not active.","Gateway not found or not active."
"Error occured","Error occured"
"CANCELLED: ","CANCELLED: "
"Payment data: Preparing","Payment data: Preparing"
"Payment data: Prepared","Payment data: Prepared"
"Installment option %s is not active for that gateway.","Installment option %s is not active for that gateway."
"Installment value %s is not valid for that gateway.","Installment value %s is not valid for that gateway."
"Transaction (Non3D) : Started","Transaction (Non3D) : Started"
"Transaction (Non3D) : XML Prepared","Transaction (Non3D) : XML Prepared"
"Could not connect to gateway.","Could not connect to gateway."
"Transaction (Non3D) : Result XML arrived","Transaction (Non3D) : Result XML arrived"
"Credit card declined. Please try again.","Credit card declined. Please try again."
"Transaction (Non3D) : Success","Transaction (Non3D) : Success"
"Transaction (Non3D) : Ended","Transaction (Non3D) : Ended"
"Transaction (Non3D) : Finalizing","Transaction (Non3D) : Finalizing"
"Order with total %s %s successfully processed with order id: %s","Order with total %s %s successfully processed with order id: %s"
"Transaction (Non3D) : Finalized","Transaction (Non3D) : Finalized"
"Transaction (3D) : Finalizing","Transaction (3D) : Finalizing"
"Transaction (3D) : Finalized","Transaction (3D) : Finalized"
"Transaction (3D) : Returned","Transaction (3D) : Returned"
"MD Status Successful : %s","MD Status Successful : %s"
"Successful.","Successful."
"Transaction (3D) : Successful %s transaction","Transaction (3D) : Successful %s transaction"
"Credit card declined.","Credit card declined."
"Transaction (3D) : Card Declined. Error message: %s","Transaction (3D) : Card Declined. Error message: %s"
"Transaction (3D) : XML Prepared","Transaction (3D) : XML Prepared"
"Transaction (3D) : Result XML arrived","Transaction (3D) : Result XML arrived"
"Transaction (3D) : Success","Transaction (3D) : Success"
"Hash data is not valid.","Hash data is not valid."
"Transaction (3D) : %s","Transaction (3D) : %s"
"MD Status Error : %s","MD Status Error : %s"
"Credit card Accepted. Code: %s","Credit card Accepted. Code: %s"
"Credit card Declined. Code: %s, ErrorText: %s","Credit card Declined. Code: %s, ErrorText: %s"
"XML is not valid","XML is not valid"
"Transaction (3D) : Started","Transaction (3D) : Started"
"Transaction (3D) : Hash Params does not match.","Transaction (3D) : Hash Params does not match."
"Transaction (3D) : Hash does not match.","Transaction (3D) : Hash does not match."
"Credit card Declined. Code: %s, ErrorText: %s , ErrorMessage: %s , SysErrorMessage: %s ","Credit card Declined. Code: %s, ErrorText: %s , ErrorMessage: %s , SysErrorMessage: %s "
"Cash","Cash"
"Installment Interest","Installment Interest"
"Wrong type definition for %s","Wrong type definition for %s"
"Can not create table: %s","Can not create table: %s"
"Please Select Installment","Please Select Installment"
"Selected installment option is not valid for this gateway.","Selected installment option is not valid for this gateway."
"Mageist Sanalpos Extra Help","Mageist Sanalpos Extra Help"
"Gateway has encountered an error:","Gateway has encountered an error:"
"Please click here to try again.","Please click here to try again."
"Total","Total"
"--Please Select--","--Please Select--"
"Name on Card","Name on Card"
"Select Gateway","Select Gateway"
"Expiration Date","Expiration Date"
"Card Verification Number","Card Verification Number"
"What is this?","What is this?"
"Select Installment","Select Installment"
"All Installment Options","All Installment Options"
"All installment options","All installment options"
"Single installment for all other cards:","Single installment for all other cards:"
"Installment Number","Installment Number"
"Installment Amount","Installment Amount"
"You are being redirected to the payment gateway. Please wait.","You are being redirected to the payment gateway. Please wait."
"Gateway", "Banka"
