"store";"sku";"price";"msrp"
"store_7x24petshop_main_tr";"KOGDA15421";98,1;109
"store_7x24petshop_main_tr";"KOGDA17067";6,29;6,99
"store_7x24petshop_main_tr";"KOGDA5354";16,19;17,99
"store_7x24petshop_main_tr";"KOGDA16862";29,69;32,99
"store_7x24petshop_main_tr";"KOGDA14868";98,1;109
"store_7x24petshop_main_tr";"KOGDA16763";5,39;5,99
"store_7x24petshop_main_tr";"KOGDA11655";14,39;15,99
"store_7x24petshop_main_tr";"KOGDA16787";26,99;29,99
"store_7x24petshop_main_tr";"KOGDA11648";14,39;15,99
"store_7x24petshop_main_tr";"KOGDA16831";26,99;29,99
"store_7x24petshop_main_tr";"KOGDA14554";93,6;104
"store_7x24petshop_main_tr";"KOGDA16794";6,29;6,99
"store_7x24petshop_main_tr";"KOGDA17012";16,19;17,99
"store_7x24petshop_main_tr";"KEGDA16886";4,31;4,79
"store_7x24petshop_main_tr";"KEGDA16893";20,69;22,99
"store_7x24petshop_main_tr";"KEGDA40170";4,04;4,49
"store_7x24petshop_main_tr";"KEGDA4654";17,99;19,99
"store_7x24petshop_main_tr";"KEGDA16930";31,49;34,99
"store_7x24petshop_main_tr";"KEGDA16947";107,1;119
"store_7x24petshop_main_tr";"KEGDA40173";4,04;4,49
"store_7x24petshop_main_tr";"KEGDA17043";17,99;19,99
"store_7x24petshop_main_tr";"KEGDA17050";31,49;34,99
"store_7x24petshop_main_tr";"KEGDA1362";4,04;4,49
"store_7x24petshop_main_tr";"KEGDA4661";17,99;19,99
"store_7x24petshop_main_tr";"KEGDA16978";31,49;34,99
"store_7x24petshop_main_tr";"KEGDA13731";107,1;119
"store_7x24petshop_main_tr";"KEGDA17029";4,22;4,69
"store_7x24petshop_main_tr";"KEGDA4647";18,89;20,99
"store_7x24petshop_main_tr";"KOGDA15735";8,28;9,2
"store_7x24petshop_main_tr";"KOGDA15780";8,28;9,2
"store_7x24petshop_main_tr";"KOGDA15728";8,28;9,2
"store_7x24petshop_main_tr";"KOGDA4913";3,38;3,76
"store_7x24petshop_main_tr";"KOGDA15773";8,28;9,2
"store_7x24petshop_main_tr";"KOGDA4906";2,97;3,3
"store_7x24petshop_main_tr";"KOGDA15759";8,28;9,2
"store_7x24petshop_main_tr";"KEGDA99009";2,45;2,45
"store_7x24petshop_main_tr";"KEGDA99010";2,45;2,45
"store_7x24petshop_main_tr";"KEGDA99012";2,45;2,45
"store_7x24petshop_main_tr";"KEGDA99013";2,45;2,45
"store_7x24petshop_main_tr";"KEGDA99014";2,45;2,45
"store_7x24petshop_main_tr";"KEGDA99015";2,45;2,45
"store_7x24petshop_main_tr";"EUK8710974911395";26,5;26,5
"store_7x24petshop_main_tr";"EUK19014148370";70,01;70,01
"store_7x24petshop_main_tr";"EUK19014148752";161,51;161,51
"store_7x24petshop_main_tr";"EUK19014206377";70,01;70,01
"store_7x24petshop_main_tr";"EUK19014206919";270,01;270,01
"store_7x24petshop_main_tr";"EUK19014202379";64,51;64,51
"store_7x24petshop_main_tr";"EUK19014202911";255,01;255,01
"store_7x24petshop_main_tr";"KOGDA14010";80;80
"store_7x24petshop_main_tr";"KOGDA14020";275;275
"store_7x24petshop_main_tr";"EUK19014201372";64,51;64,51
"store_7x24petshop_main_tr";"EUK19014145379";64,5;64,5
"store_7x24petshop_main_tr";"EUK19014145911";245;245
"store_7x24petshop_main_tr";"EUK19014229376";64,5;64,5
"store_7x24petshop_main_tr";"EUK19014229918";230,01;230,01
"store_7x24petshop_main_tr";"KOGDA18015";69;69
"store_7x24petshop_main_tr";"KOGDA18020";239;239
"store_7x24petshop_main_tr";"KOGDA19010";69;69
"store_7x24petshop_main_tr";"KOGDA19020";225;225
"store_7x24petshop_main_tr";"KOGDA20010";69;69
"store_7x24petshop_main_tr";"EUK8710974910954";255,01;255,01
"store_7x24petshop_main_tr";"EUK5000174620054";70,01;70,01
"store_7x24petshop_main_tr";"EUK5000174621167";255,01;255,01
"store_7x24petshop_main_tr";"KOGDA23030";239;239
"store_7x24petshop_main_tr";"KOGDA23040";85;85
